year,month,Q
1947,11,125.3712213
1947,12,72
1948,1,48.4
1948,2,27.4
1948,3,21.4
1948,4,7.86
1948,5,40.9
1948,6,98.1
1948,7,280
1948,8,656
1948,9,569
1948,10,292
1948,11,121
1948,12,81
1949,1,62.7
1949,2,48.2
1949,3,43.3
1949,4,32.5
1949,5,53
1949,6,149
1949,7,321
1949,8,702
1949,9,791
1949,10,292
1949,11,115
1949,12,82.5
1950,1,73.7
1950,2,52.9
1950,3,40.2
1950,4,38.7
1950,5,45.6
1950,6,178
1950,7,340
1950,8,555
1950,9,296
1950,10,250
1950,11,121
1950,12,56.1
1951,1,61.2
1951,2,78.2
1951,3,31.5
1951,4,32.3
1951,5,86.5
1951,6,277
1951,7,592
1951,8,1121
1951,9,766
1951,10,343
1951,11,95.3
1951,12,88.7
1952,1,61.6
1952,2,47.9
1952,3,47.6
1952,4,48.6
1952,5,70.3
1952,6,83.7
1952,7,642
1952,8,1461
1952,9,1644
1952,10,286
1952,11,95
1952,12,58.7
1953,1,54.1
1953,2,76
1953,3,54.9
1953,4,40.6
1953,5,90.4
1953,6,211
1953,7,260
1953,8,1050
1953,9,558
1953,10,201
1953,11,144
1953,12,66.2
1954,1,55.8
1954,2,42.4
1954,3,39.2
1954,4,28.7
1954,5,34.2
1954,6,82.2
1954,7,91.1
1954,8,450
1954,9,669
1954,10,287
1954,11,109
1954,12,66.3
1955,1,39.7
1955,2,26.5
1955,3,25.8
1955,4,39.6
1955,5,70.7
1955,6,161
1955,7,352
1955,8,1269
1955,9,1172
1955,10,201
1955,11,92.2
1955,12,60.7
1956,1,35.6
1956,2,27.6
1956,3,25.2
1956,4,26.6
1956,5,82.2
1956,6,180
1956,7,377
1956,8,1309
1956,9,726
1956,10,220
1956,11,82.8
1956,12,60
1957,1,39.8
1957,2,30.1
1957,3,27.7
1957,4,26.2
1957,5,27.5
1957,6,84.8
1957,7,344
1957,8,476
1957,9,983
1957,10,283
1957,11,81.4
1957,12,57.5
1958,1,41.3
1958,2,34.6
1958,3,25.8
1958,4,27
1958,5,30.8
1958,6,120
1958,7,239
1958,8,324
1958,9,361
1958,10,96.5
1958,11,57.4
1958,12,46.8
1959,1,38.9
1959,2,27.1
1959,3,17.8
1959,4,17.3
1959,5,30.3
1959,6,120
1959,7,239
1959,8,788
1959,9,1416
1959,10,196
1959,11,74.4
1959,12,53.6
1960,1,37
1960,2,29
1960,3,25.2
1960,4,18
1960,5,38.7
1960,6,74.4
1960,7,389
1960,8,913
1960,9,935
1960,10,223
1960,11,83.8
1960,12,76.7
1961,1,53
1961,2,38.1
1961,3,35.1
1961,4,56.9
1961,5,69.6
1961,6,278
1961,7,345
1961,8,904
1961,9,303
1961,10,515
1961,11,148
1961,12,102
1962,1,72
1962,2,55.8
1962,3,48.8
1962,4,39.8
1962,5,85.5
1962,6,118
1962,7,440
1962,8,680
1962,9,303
1962,10,218
1962,11,87.5
1962,12,78.8
1963,1,46.4
1963,2,32.3
1963,3,35.9
1963,4,29.3
1963,5,33.9
1963,6,147
1963,7,576
1963,8,1031
1963,9,947
1963,10,400
1963,11,238
1963,12,109
1964,1,60.9
1964,2,34.3
1964,3,24.9
1964,4,15.7
1964,5,59.5
1964,6,225
1964,7,371
1964,8,543
1964,9,721
1964,10,284
1964,11,113
1964,12,67.6
1965,1,42.2
1965,2,30.9
1965,3,20.3
1965,4,15.1
1965,5,29.8
1965,6,107
1965,7,311
1965,8,458
1965,9,417
1965,10,166
1965,11,140
1965,12,51.5
1966,1,30.1
1966,2,21.6
1966,3,13.8
1966,4,12.4
1966,5,57.4
1966,6,110
1966,7,372
1966,8,1018
1966,9,714
1966,10,169
1966,11,79.7
1966,12,43.4
1967,1,24.9
1967,2,13.1
1967,3,12.1
1967,4,15.1
1967,5,56.8
1967,6,126
1967,7,247
1967,8,352
1967,9,837
1967,10,258
1967,11,55.6
1967,12,34.1
1968,1,18.5
1968,2,11.6
1968,3,11.6
1968,4,9.004939201
1968,5,26.19268667
1968,6,61.04587501
1968,7,216.0794537
1968,8,508.9358062
1968,9,375.7866359
1968,10,156.2392059
1968,11,64.78684329
1968,12,40.63455701
1969,1,27.23017197
1969,2,13.43356488
1969,3,9.914020667
1969,4,6.84
1969,5,16.1
1969,6,205
1969,7,500
1969,8,774
1969,9,216
1969,10,86.7
1969,11,79
1969,12,31.6
1970,1,21.5
1970,2,13.8
1970,3,7.96
1970,4,72
1970,5,119.4473008
1970,6,592
1970,7,659
1970,8,1130
1970,9,1647
1970,10,294
1970,11,164
1970,12,34.9
1971,1,34.26178521
1971,2,12.3
1971,3,11.9
1971,4,12.7
1971,5,40.57410136
1971,6,183
1971,7,319.2601166
1971,8,617.2916242
1971,9,377
1971,10,176
1971,11,40.3
1971,12,32.3
1972,1,17.5
1972,2,10.6
1972,3,8.67
1972,4,15.2
1972,5,21.6
1972,6,43.9
1972,7,197
1972,8,1198
1972,9,178
1972,10,118
1972,11,48
1972,12,28
1973,1,14.3
1973,2,9.44
1973,3,17
1973,4,8.58
1973,5,26.2
1973,6,92.9
1973,7,400
1973,8,907
1973,9,718
1973,10,214
1973,11,61.9
1973,12,29.4
1974,1,17.4
1974,2,9.8
1974,3,9.48
1974,4,18.5
1974,5,58.7
1974,6,96.8
1974,7,116
1974,8,452
1974,9,316
1974,10,132
1974,11,62.7
1974,12,36.4
1975,1,24.5
1975,2,14.2
1975,3,13.9
1975,4,6.88
1975,5,25.3
1975,6,220
1975,7,477
1975,8,1064
1975,9,596.4955406
1975,10,205.9020436
1975,11,77.4
1975,12,38.8
1976,1,26.4
1976,2,14.4
1976,3,10.4
1976,4,11.5
1976,5,17.8
1976,6,116
1976,7,211
1976,8,649
1976,9,538
1976,10,274
1976,11,66.4
1976,12,41.5
1977,1,30.1
1977,2,12.6
1977,3,11
1977,4,16.1
1977,5,49.4
1977,6,25.4
1977,7,244
1977,8,459.0252547
1977,9,311
1977,10,120
1977,11,68.2
1977,12,36.7
1978,1,20.3
1978,2,12.4
1978,3,10.6
1978,4,13.11
1978,5,25.19
1978,6,174.21
1978,7,371.72
1978,8,693.7
1978,9,570.55
1978,10,192.62
1978,11,41.7
1978,12,27.47
1979,1,13.42
1979,2,9.7
1979,3,8.03
1979,4,34.44
1979,5,62.66
1979,6,239.96
1979,7,184.89
1979,8,632.85
1979,9,270.16
1979,10,139.26
1979,11,87.44
1979,12,64.14
1980,1,50.85
1980,2,38.88
1980,3,44.89
1980,4,54.73
1980,5,84.05
1980,6,404.47
1980,7,917.82
1980,8,711.68
1980,9,1272.08
1980,10,277.78
1980,11,121.91
1980,12,85.32
1981,1,57.43
1981,2,32.72
1981,3,23.64
1981,4,31.36
1981,5,119.46
1981,6,183.99
1981,7,1404.42
1981,8,907.57
1981,9,675.24
1981,10,289.53
1981,11,133.79
