year,month,Q
2001,9,1388.3
2001,10,1154.08
2001,11,829.13
2001,12,314.99
2002,1,34.26
2002,2,13.11
2002,3,27.8
2002,4,11.18
2002,5,73.79
2002,6,243.25
2002,7,215.82
2002,8,472.21
2002,9,2446.11
2002,10,2026.3
2002,11,913.58
2002,12,529.99
2003,1,125.68
2003,2,30.1
2003,3,78.92
2003,4,28.24
2003,5,6.77
2003,6,74.87
2003,7,189.57
2003,8,322.18
2003,9,611.29
2003,10,848.43
2003,11,169.29
2003,12,8.69
2004,1,12.03422914
2004,2,19.54
2004,3,7.79
2004,4,14.14689008
2004,5,76.51
2004,6,344.08
2004,7,350.68
2004,8,546.27
2004,9,567.05
2004,10,784.91
2004,11,97.63
2004,12,11.35
2005,1,1.975896979
2005,2,0.1
2005,3,0.24217762
2005,4,1.655951324
2005,5,11.56765595
2005,6,101.83
2005,7,128.66
2005,8,401.12
2005,9,846.34
2005,10,1356.42
2005,11,764.56
2005,12,76.04
2006,1,1.24
2006,2,2.919834156
2006,3,2.32
2006,4,5.84
2006,5,168.17
2006,6,817.95
2006,7,644.25
2006,8,565.75
2006,9,1986
2006,10,3578.82
2006,11,737.54
2006,12,47.36
2007,1,6.15
2007,2,10.5432389
2007,3,16.75112802
2007,4,25.78275183
2007,5,451.65
2007,6,276.83
2007,7,333.37
2007,8,330.04
2007,9,636.22
2007,10,871.27
2007,11,439.02
2007,12,37.97
2008,1,22.85
2008,2,62.44
2008,3,62.97
2008,4,40.37
2008,5,169.81
2008,6,258.26
2008,7,257.51
2008,8,457.07
2008,9,601.2
2008,10,783.44
2008,11,657.27
2008,12,223.55
2009,1,133.53
2009,2,84.6
2009,3,139.19
2009,4,33.54
2009,5,93.46
2009,6,311.99
2009,7,464.66
2009,8,332.16
2009,9,460.96
2009,10,738.48
2009,11,386.21
2009,12,17.73
2010,1,18.45
2010,2,5.58
2010,3,3.81
2010,4,31.1
2010,5,9.65
2010,6,87.62503648
2010,7,100.1305645
2010,8,463.13
2010,9,816.19
2010,10,851.21
2010,11,696.34
2010,12,140.62
2011,1,11.3
2011,2,9.64
2011,3,198.34
2011,4,118.89
2011,5,473.07
2011,6,548.2
2011,7,642.54
2011,8,1995.92
2011,9,3136.53
2011,10,3155.32
2011,11,810.48
2011,12,145.28
2012,1,180.43
2012,2,214.44
2012,3,211.75
2012,4,2.66
2012,5,209.6
2012,6,435.45
2012,7,304.88
2012,8,395.29
2012,9,649.77
2012,10,670.29
2012,11,209.04
2012,12,53.95
2013,1,1.43
2013,2,31.2
2013,3,4.47
2013,4,1.623717816
2013,5,0.16
2013,6,61.02
2013,7,134.79
2013,8,457.42
2013,9,561.77
2013,10,826.85
2013,11,339.07
2013,12,6.24
2014,1,5.897142958
2014,2,2.973231477
2014,3,2.185159986
2014,4,4.712042262
2014,5,21.72503254
2014,6,72.5
2014,7,174.51
2014,8,476.98
2014,9,688.86
2014,10,473.46
2014,11,225.26
2014,12,43.65
2015,1,11.61269909
2015,2,4.817616499
2015,3,2.748730946
2015,4,4.179055897
2015,5,13.69040401
2015,6,45.60908673
2015,7,39.04
2015,8,134.1
2015,9,174.39
2015,10,149.71
2015,11,7.68
2015,12,10.06988538
2016,1,4.77336523
2016,2,2.563206467
2016,3,2.04584457
2016,4,4.921346396
2016,5,25.32418017
2016,6,102.6693412
2016,7,210.84
2016,8,376.46
2016,9,603.72
2016,10,843.37
2016,11,480.74
2016,12,17.68
2017,1,8.4
2017,2,4.275907066
2017,3,2.869809461
2017,4,4.95240301
2017,5,16.19
2017,6,104.89
2017,7,79.02
2017,8,23.07
2017,9,680.39
2017,10,1315.44
2017,11,701.46
2017,12,236.32
2018,1,150.15
2018,2,140.22
2018,3,97.39
2018,4,50.79
2018,5,113.82
2018,6,138.13
2018,7,280.45
2018,8,444.01
2018,9,524.28
2018,10,582.64
2018,11,126.46
2018,12,2.44
2019,1,17.71
2019,2,28.93
2019,3,7.88
